"","AirportID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","TzDatabaseTz","Type","Source"
"8336",9777,"Okmulgee Regional Airport","Okmulgee","United States","OKM","KOKM",35.668098449707,-95.948699951172,720,"-6","A","America/Chicago","airport","OurAirports"
"8337",9778,"Cushing Municipal Airport","Cushing","United States","CUH","KCUH",35.9499015808,-96.7731018066,916,"-6","A","America/Chicago","airport","OurAirports"
"8338",9779,"Clinton Sherman Airport","Clinton","United States","CSM","KCSM",35.3398017883,-99.2005004883,1922,"-6","A","America/Chicago","airport","OurAirports"
"8339",9780,"Strother Field","Winfield","United States","WLD","KWLD",37.168598175,-97.0375976562,1160,"-6","A","America/Chicago","airport","OurAirports"
"8340",9781,"Wiley Post Airport","Oklahoma City","United States","PWA","KPWA",35.53419876,-97.64710236,1300,"-6","A","America/Chicago","airport","OurAirports"
"8341",9782,"Shreveport Downtown Airport","Shreveport","United States","DTN","KDTN",32.5401992798,-93.7450027466,179,"-6","A","America/Chicago","airport","OurAirports"
"8342",9783,"Stephenville Clark Regional Airport","Stephenville","United States","SEP","KSEP",32.215301513672,-98.177696228027,1321,"-6","A","America/Chicago","airport","OurAirports"
"8343",9784,"Perry Municipal Airport","Perry","United States","\N","KF22",36.3856010437012,-97.2771987915039,1002,"-6","A","America/Chicago","airport","OurAirports"
"8344",9785,"Goldthwaite","Goldthwaite","United States","\N","KT37",31.4290667,-98.6083556,1457,"-6","A","America/Chicago","unknown","User"
"8345",9786,"Hamilton Municipal Airport","Hamilton","United States","\N","KMNZ",31.6658992767334,-98.1485977172852,1299,"-6","A","America/Chicago","airport","OurAirports"
"8346",9787,"Ada Regional Airport","Ada","United States","ADT","KADH",34.804298,-96.671303,1016,"-6","A","America/Chicago","airport","OurAirports"
"8347",9788,"Mesquite Metro Airport","Misquite","United States","\N","KHQZ",32.7470016479492,-96.530403137207,447,"-6","A","America/Chicago","airport","OurAirports"
"8348",9789,"Denton Municipal Airport","Denton","United States","\N","KDTO",33.2006988525,-97.1979980469,642,"-6","A","America/Chicago","airport","OurAirports"
"8349",9790,"Austin Executive Airport","Austin","United States","\N","KEDC",30.3974931,-97.5663935,620,"-6","A","America/Chicago","airport","OurAirports"
"8350",9791,"Lago Vista Tx Rusty Allen Airport","Lago Vista","United States","\N","KRYW",30.4986000061035,-97.9694976806641,1231,"-6","A","America/Chicago","airport","OurAirports"
"8351",9792,"Brenham Municipal Airport","Brenham","United States","\N","K11R",30.21899986,-96.3742981,307,"-6","A","America/Chicago","airport","OurAirports"
"8352",9793,"Lakeway Airpark","Lakeway","United States","\N","K3R9",30.3575000762939,-97.994499206543,909,"-6","A","America/Chicago","airport","OurAirports"
"8353",9794,"Iraan Municipal Airport","Iraan","United States","IRB","K2F0",30.9057006836,-101.891998291,2200,"-6","A","America/Chicago","airport","OurAirports"
"8354",9795,"Kestrel Airpark","San Antonio","United States","\N","K1T7",29.8127002716064,-98.4253005981445,1250,"-6","A","America/Chicago","airport","OurAirports"
"8355",9796,"Elliot Lake Municipal Airport","ELLIOT LAKE","Canada","YEL","CYEL",46.351398468,-82.5614013672,1087,"-5","A","America/Toronto","airport","OurAirports"
"8356",9797,"Wilkes County Airport","North Wilkesboro","United States","IKB","KUKF",36.2228012085,-81.0982971191,1301,"-5","A","America/New_York","airport","OurAirports"
"8357",9798,"Charleston Executive Airport","Charleston","United States","\N","KJZI",32.7009010314941,-80.0028991699219,17,"-5","A","America/New_York","airport","OurAirports"
"8358",9799,"Danville Regional Airport","Danville","United States","DAN","KDAN",36.5728988647461,-79.3360977172852,571,"-5","A","America/New_York","airport","OurAirports"
"8359",9800,"Brookneal/Campbell County Airport","Brookneal","United States","\N","K0V4",37.1417007446,-79.0164031982,596,"-5","A","America/New_York","airport","OurAirports"
"8360",9801,"Spokane Amtrak Station","Spokane","United States","\N","\N",47.656279,-117.415519,17,"-8","A","America/Los_Angeles","station","User"
"8361",9802,"Lewistown Amtrak Station","Lewistown","United States","\N","\N",40.58911,-77.578615,520,"-5","A","America/New_York","station","User"
"8362",9803,"Valladolid Bus Station","Valladolid","Spain","XJN","\N",41.633333,-4.716667,2290,"1","E","Europe/Madrid","station","User"
"8363",9804,"Soria Bus Station","Soria","Spain","XJO","\N",41.766667,-2.466667,3488,"1","E","Europe/Madrid","station","User"
"8364",9805,"Yerbogachen Airport","Yerbogachen","Russia","ERG","UIKE",61.2750015259,108.029998779,400,"8","N","Asia/Irkutsk","airport","OurAirports"
"8365",9806,"Cheraw Municipal Airport/Lynch Bellinger Field","Cheraw","United States","HCW","KCQW",34.71289825,-79.95700073,239,"-5","A","America/New_York","airport","OurAirports"
"8366",9807,"Arcadia Municipal Airport","Arcadia","United States","X06","\N",27.1174,-81.5023,63,"-5","A","America/New_York","airport","User"
"8367",9808,"Wauchula Municipal Airport","Wuchula","United States","\N","KCHN",27.51490020752,-81.880500793457,106,"-5","A","America/New_York","airport","OurAirports"
"8368",9809,"River Ranch Resort Airport","River Ranch","United States","2RR","\N",27.4676,-81.1224,55,"-5","A","America/New_York","airport","User"
"8369",9810,"Belle Glade State Municipal Airport","Belle Galdes","United States","X10","\N",26.419,-80.3965,14,"-5","A","America/New_York","airport","User"
"8370",9811,"Homestead General Aviation Airport","Homestead","United States","X51","\N",25.2995,-80.3325,7,"-5","A","America/New_York","airport","User"
"8371",9812,"Massey Ranch Airpark Airport","Edgewater","United States","X50","\N",28.5874,-80.5549,10,"-5","A","America/New_York","airport","User"
"8372",9813,"North Palm Beach County General Aviation Airport","Palm Beach Gardens","United States","F45","\N",26.5076,-80.1334,22,"-5","A","America/New_York","airport","User"
"8373",9814,"Airglades Airport","Clewiston","United States","2IS","\N",26.4411,-81.0306,20,"-5","A","America/New_York","airport","User"
"8374",9815,"Chagual","Chagual","Peru","\N","SPGL",-7.964139,-77.649383,4009,"-5","N","America/Lima","unknown","User"
"8375",9816,"Strasbourg Bus Station","Strasbourg","France","XER","\N",48.585,7.734444,433,"1","E","Europe/Paris","station","User"
"8376",9817,"Tanda Tula Airstrip","Timbavati","South Africa","\N","\N",-24.387042,31.324186,5475,"2","U","Africa/Johannesburg","unknown","User"
"8377",9818,"Lilydale Airport","Lilydale","Australia","\N","YLIL",-37.6916999816895,145.367004394531,76,"10","O","Australia/Hobart","airport","OurAirports"
"8378",9819,"Beni Mellal Airport","Beni Mellal","Morocco","BEM","GMMD",32.401895,-6.315905,1694,"0","E","Africa/Casablanca","airport","OurAirports"
"8379",9820,"Şırnak Şerafettin Elçi Airport","Cizre","Turkey","NKT","LTCV",37.3647,42.0582,2038,"3","E","Europe/Istanbul","airport","OurAirports"
"8380",9821,"Suntar Airport","Suntar","Russia","SUY","UENS",62.185001373291,117.63500213623,452,"9","N","Asia/Yakutsk","airport","OurAirports"
"8381",9822,"Srednekolymsk Airport","Srednekolymsk","Russia","\N","\N",67.479722,153.735,48,"11","N","Asia/Srednekolymsk","airport","User"
"8382",9823,"Goulimime Airport","Goulimime","Morocco","GLN","\N",29.0266991,-10.0502996,984,"0","E","Africa/Casablanca","airport","User"
